trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,signal_energy,area_factor,post_noise_energy,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
52,1789302840.194024,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.27938,0.29899,0.42163,1.08138,2.07902,1.44,2.65517,0.3076923076923077,0.3320545609548167,0.3448275862068966,0.35,0.3076923076923077,0.3076923076923077,16,52,0.2608695652173913,0.23529411764705882,0.5,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.009499
53,1789302840.1949024,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.27111,0.29841,0.43048,1.07756,1.89459,1.44,2.37604,0.3018867924528302,0.3192340481343039,0.3333333333333333,0.35,0.3018867924528302,0.3018867924528302,16,53,0.2608695652173913,0.23529411764705882,0.46153846153846156,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.007855
54,1789302840.195776,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.28255,0.28938,0.42807,1.07916,1.98237,1.44,2.49317,0.2962962962962963,0.3082450371452929,0.3225806451612903,0.35,0.2962962962962963,0.2962962962962963,16,54,0.2608695652173913,0.23529411764705882,0.42857142857142855,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.008976
55,1789302840.1964774,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.27455,0.31355,0.4119,1.08389,2.0604,1.44,2.53499,0.3090909090909091,0.3209434498437056,0.34375,0.4,0.3090909090909091,0.3090909090909091,17,55,0.2608695652173913,0.23529411764705882,0.4666666666666667,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.00705
56,1789302840.1971521,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.26552,0.34564,0.38884,1.08658,2.05896,1.44,2.41886,0.30357142857142855,0.31122122762148335,0.3333333333333333,0.35,0.30357142857142855,0.30357142857142855,17,56,0.2608695652173913,0.23529411764705882,0.4375,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.008415
57,1789302840.1978147,dots_0_2_stage2_1,train,1,0,1,0,-1.0,0.3354,0.32734,0.33726,1.09853,0.0,0.0,0.52529,0.2982456140350877,0.3075980392156863,0.3333333333333333,0.35,0.2982456140350877,0.2982456140350877,17,57,0.25,0.23529411764705882,0.4375,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.000493
58,1789302840.1987646,dots_0_2_stage2_1,train,1,1,1,1,1.0,0.2982,0.3318,0.37,1.09474,2.00247,1.44,2.51669,0.3103448275862069,0.32175925925925924,0.35294117647058826,0.4,0.3103448275862069,0.3103448275862069,18,58,0.25,0.2777777777777778,0.4375,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.00736
59,1789302840.1996696,dots_0_2_stage2_1,train,1,0,0,1,1.0,0.3342,0.32692,0.33888,1.0985,0.0,0.0,0.50466,0.3220338983050847,0.33175925925925925,0.35294117647058826,0.4,0.3220338983050847,0.3220338983050847,19,59,0.28,0.2777777777777778,0.4375,0.0,0.0,,0.0,0.0,0.0,0,5,0.0,,,192,0.000534
60,1789302840.2005005,dots_0_2_stage2_1,probe,0,0,2,0,-1.0,0.3359,0.32533,0.33876,1.09846,0.0,0.0,0.65538,0.31666666666666665,0.3281695156695157,0.35294117647058826,0.4,0.31666666666666665,0.31666666666666665,19,60,0.2692307692307692,0.2777777777777778,0.4375,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,0,0.0
61,1789302840.4531393,dots_0_2_stage2_1,train,1,1,1,1,1.0,0.28791,0.27205,0.44004,1.07385,1.85599,1.44,2.33525,0.32786885245901637,0.3408400809716599,0.37142857142857144,0.4,0.32786885245901637,0.32786885245901637,20,61,0.2692307692307692,0.3157894736842105,0.4375,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.008411
62,1789302840.454478,dots_0_2_stage2_1,train,1,0,1,0,-1.0,0.33308,0.32898,0.33795,1.09855,0.0,0.0,0.56474,0.3225806451612903,0.3375162443144899,0.37142857142857144,0.35,0.3225806451612903,0.3225806451612903,20,62,0.25925925925925924,0.3157894736842105,0.4375,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.000581
63,1789302840.455641,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.28974,0.28386,0.42641,1.07983,2.01158,1.44,2.51479,0.3333333333333333,0.3485456560791958,0.3888888888888889,0.35,0.3333333333333333,0.3333333333333333,21,63,0.25925925925925924,0.3157894736842105,0.47058823529411764,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.007415
64,1789302840.4563892,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.23445,0.35677,0.40878,1.07347,2.12977,1.44,2.81672,0.328125,0.34328249818445894,0.3783783783783784,0.3,0.328125,0.328125,21,64,0.25925925925925924,0.3,0.47058823529411764,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.010042
65,1789302840.4572413,dots_0_2_stage2_1,train,1,2,1,0,-1.0,0.25826,0.26461,0.47713,1.05449,1.99178,1.44,2.67401,0.3230769230769231,0.33456790123456787,0.3684210526315789,0.25,0.3230769230769231,0.3230769230769231,21,65,0.25925925925925924,0.3,0.4444444444444444,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.00932
66,1789302840.4579601,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.25248,0.24054,0.50698,1.03464,1.91791,1.44,2.50212,0.3333333333333333,0.34431448992852504,0.38461538461538464,0.3,0.3333333333333333,0.3333333333333333,22,66,0.25925925925925924,0.3,0.47368421052631576,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.00611
67,1789302840.4586549,dots_0_2_stage2_1,train,1,1,0,0,-1.0,0.24936,0.26656,0.48408,1.04996,1.99971,1.44,2.61862,0.3283582089552239,0.3395525851666202,0.375,0.3,0.3283582089552239,0.3283582089552239,22,67,0.25925925925925924,0.2857142857142857,0.47368421052631576,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.009
68,1789302840.4595535,dots_0_2_stage2_1,train,1,0,2,0,-1.0,0.33001,0.32555,0.34444,1.09832,0.0,0.0,0.62453,0.3235294117647059,0.33646616541353386,0.375,0.3,0.3235294117647059,0.3235294117647059,22,68,0.25,0.2857142857142857,0.47368421052631576,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.000574
69,1789302840.460366,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.21631,0.29163,0.49206,1.03949,1.90815,1.44,2.3847,0.3333333333333333,0.3452380952380952,0.3902439024390244,0.35,0.3333333333333333,0.3333333333333333,23,69,0.25,0.2857142857142857,0.5,0.0,0.0,,0.0,0.0,0.0,0,6,0.0,,,192,0.006246
70,1789302840.4613323,dots_0_2_stage2_1,probe,0,0,2,0,-1.0,0.32965,0.3269,0.34346,1.09838,0.0,0.0,0.54817,0.32857142857142857,0.3423645320197044,0.3902439024390244,0.35,0.32857142857142857,0.32857142857142857,23,70,0.2413793103448276,0.2857142857142857,0.5,0.0,0.0,,0.0,0.0,0.0,0,7,0.0,,,0,0.0
71,1789302840.4619434,dots_0_2_stage2_1,train,1,0,1,0,-1.0,0.33093,0.32739,0.34168,1.09845,0.0,0.0,0.66171,0.323943661971831,0.33968253968253964,0.3902439024390244,0.35,0.323943661971831,0.323943661971831,23,71,0.23333333333333334,0.2857142857142857,0.5,0.0,0.0,,0.0,0.0,0.0,0,7,0.0,,,192,0.000622
72,1789302840.4625704,dots_0_2_stage2_1,train,1,2,2,1,1.0,0.21966,0.30178,0.47856,1.04717,2.14675,1.44,2.73023,0.3333333333333333,0.34761904761904766,0.40476190476190477,0.4,0.3333333333333333,0.3333333333333333,24,72,0.23333333333333334,0.2857142857142857,0.5238095238095238,0.0,0.0,,0.0,0.0,0.0,0,7,0.0,,,192,0.00753
