trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,signal_energy,area_factor,post_noise_energy,overall,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
39,1789302048.8747237,dots_0_2_stage2,train,1,2,2,1,1.0,0.40153,0.18255,0.41592,1.04173,2.00766,1.44,2.44275,0.3333333333333333,0.3,0.3333333333333333,0.3333333333333333,13,39,0.3125,0.07692307692307693,0.7,0.0,0.0,0.0,0.0,0,3,0.0,,,195,0.009476
40,1789302048.875443,dots_0_2_stage2,probe,0,0,2,0,-1.0,0.36356,0.24478,0.39166,1.07948,0.0,0.0,0.66765,0.325,0.3,0.325,0.325,13,40,0.29411764705882354,0.07692307692307693,0.7,0.0,0.0,0.0,0.0,0,4,0.0,,,0,0.0
41,1789302048.8762462,dots_0_2_stage2,train,1,2,2,1,1.0,0.33879,0.16611,0.4951,1.01293,1.8546,1.44,2.12275,0.34146341463414637,0.35,0.34146341463414637,0.34146341463414637,14,41,0.29411764705882354,0.07692307692307693,0.7272727272727273,0.0,0.0,0.0,0.0,0,4,0.0,,,195,0.008011
42,1789302048.8768911,dots_0_2_stage2,train,1,1,2,0,-1.0,0.26869,0.13914,0.59217,0.93781,2.04797,1.44,2.71609,0.3333333333333333,0.35,0.3333333333333333,0.3333333333333333,14,42,0.29411764705882354,0.07142857142857142,0.7272727272727273,0.0,0.0,0.0,0.0,0,4,0.0,,,198,0.00617
43,1789302048.877454,dots_0_2_stage2,train,1,0,0,1,1.0,0.36133,0.25232,0.38635,1.0827,0.0,0.0,0.56004,0.3488372093023256,0.4,0.3488372093023256,0.3488372093023256,15,43,0.3333333333333333,0.07142857142857142,0.7272727272727273,0.0,0.0,0.0,0.0,0,4,0.0,,,198,0.001577
44,1789302048.8779998,dots_0_2_stage2,train,1,1,0,0,-1.0,0.34718,0.15528,0.49754,1.00382,1.91828,1.44,2.49809,0.3409090909090909,0.4,0.3409090909090909,0.3409090909090909,15,44,0.3333333333333333,0.06666666666666667,0.7272727272727273,0.0,0.0,0.0,0.0,0,4,0.0,,,198,0.010251
45,1789302048.8785267,dots_0_2_stage2,train,1,0,0,1,1.0,0.34183,0.24625,0.41191,1.07738,0.0,0.0,0.67174,0.35555555555555557,0.45,0.35555555555555557,0.35555555555555557,16,45,0.3684210526315789,0.06666666666666667,0.7272727272727273,0.0,0.0,0.0,0.0,0,4,0.0,,,198,0.001758
46,1789302048.8790145,dots_0_2_stage2,train,1,0,2,0,-1.0,0.35867,0.24844,0.39289,1.08078,0.0,0.0,0.58004,0.34782608695652173,0.45,0.34782608695652173,0.34782608695652173,16,46,0.35,0.06666666666666667,0.7272727272727273,0.0,0.0,0.0,0.0,0,4,0.0,,,195,0.001532
47,1789302048.8794918,dots_0_2_stage2,train,1,0,1,0,-1.0,0.36758,0.24354,0.38888,1.07916,0.0,0.0,0.71349,0.3404255319148936,0.45,0.3404255319148936,0.3404255319148936,16,47,0.3333333333333333,0.06666666666666667,0.7272727272727273,0.0,0.0,0.0,0.0,0,4,0.0,,,198,0.002194
48,1789302048.8800135,dots_0_2_stage2,train,1,2,2,1,1.0,0.32289,0.13921,0.5379,0.97304,1.93008,1.44,2.38954,0.3541666666666667,0.5,0.3541666666666667,0.3541666666666667,17,48,0.3333333333333333,0.06666666666666667,0.75,0.0,0.0,0.0,0.0,0,4,0.0,,,195,0.007762
49,1789302049.122756,dots_0_2_stage2,train,1,0,2,0,-1.0,0.35903,0.23531,0.40566,1.07423,0.0,0.0,0.54695,0.3469387755102041,0.45,0.3469387755102041,0.3469387755102041,17,49,0.3181818181818182,0.06666666666666667,0.75,0.0,0.0,0.0,0.0,0,4,0.0,,,198,0.001417
50,1789302049.1235576,dots_0_2_stage2,probe,0,0,1,0,-1.0,0.36651,0.24126,0.39223,1.07801,0.0,0.0,0.52256,0.34,0.45,0.34,0.34,17,50,0.30434782608695654,0.06666666666666667,0.75,0.0,0.0,0.0,0.0,0,5,0.0,,,0,0.0
51,1789302049.124887,dots_0_2_stage2,train,1,1,0,0,-1.0,0.3148,0.14038,0.54482,0.97034,1.89385,1.44,2.32838,0.3333333333333333,0.4,0.3333333333333333,0.3333333333333333,17,51,0.30434782608695654,0.0625,0.75,0.0,0.0,0.0,0.0,0,5,0.0,,,198,0.008688
52,1789302049.1255474,dots_0_2_stage2,train,1,1,0,0,-1.0,0.20429,0.12508,0.67063,0.85242,2.07902,1.44,2.65517,0.3269230769230769,0.35,0.3269230769230769,0.3269230769230769,17,52,0.30434782608695654,0.058823529411764705,0.75,0.0,0.0,0.0,0.0,0,5,0.0,,,198,0.012432
53,1789302049.1261418,dots_0_2_stage2,train,1,2,2,1,1.0,0.14364,0.11441,0.74195,0.74822,1.89459,1.44,2.37604,0.33962264150943394,0.4,0.33962264150943394,0.33962264150943394,18,53,0.30434782608695654,0.058823529411764705,0.7692307692307693,0.0,0.0,0.0,0.0,0,5,0.0,,,195,0.003896
54,1789302049.126716,dots_0_2_stage2,train,1,2,2,1,1.0,0.12549,0.10867,0.76585,0.70595,1.98237,1.44,2.49317,0.35185185185185186,0.45,0.35185185185185186,0.35185185185185186,19,54,0.30434782608695654,0.058823529411764705,0.7857142857142857,0.0,0.0,0.0,0.0,0,5,0.0,,,198,0.003795
55,1789302049.1272817,dots_0_2_stage2,train,1,2,2,1,1.0,0.10621,0.09546,0.79832,0.64222,2.0604,1.44,2.53499,0.36363636363636365,0.5,0.36363636363636365,0.36363636363636365,20,55,0.30434782608695654,0.058823529411764705,0.8,0.0,0.0,0.0,0.0,0,5,0.0,,,198,0.003816
56,1789302049.1278965,dots_0_2_stage2,train,1,2,2,1,1.0,0.08875,0.08337,0.82788,0.57845,2.05896,1.44,2.41886,0.375,0.5,0.375,0.375,21,56,0.30434782608695654,0.058823529411764705,0.8125,0.0,0.0,0.0,0.0,0,5,0.0,,,198,0.003065
57,1789302049.128434,dots_0_2_stage2,train,1,0,1,0,-1.0,0.27547,0.22817,0.49635,1.04,0.0,0.0,0.52529,0.3684210526315789,0.45,0.3684210526315789,0.3684210526315789,21,57,0.2916666666666667,0.058823529411764705,0.8125,0.0,0.0,0.0,0.0,0,5,0.0,,,198,0.001684
58,1789302049.1289313,dots_0_2_stage2,train,1,1,2,0,-1.0,0.07611,0.06387,0.86002,0.50141,2.00247,1.44,2.51669,0.3620689655172414,0.45,0.3620689655172414,0.3620689655172414,21,58,0.2916666666666667,0.05555555555555555,0.8125,0.0,0.0,0.0,0.0,0,5,0.0,,,198,0.002302
59,1789302049.1294281,dots_0_2_stage2,train,1,0,0,1,1.0,0.28367,0.22151,0.49482,1.03942,0.0,0.0,0.50466,0.3728813559322034,0.45,0.3728813559322034,0.3728813559322034,22,59,0.32,0.05555555555555555,0.8125,0.0,0.0,0.0,0.0,0,5,0.0,,,198,0.001607
60,1789302049.12989,dots_0_2_stage2,probe,0,0,2,0,-1.0,0.27943,0.20507,0.5155,1.02277,0.0,0.0,0.65538,0.36666666666666664,0.45,0.36666666666666664,0.36666666666666664,22,60,0.3076923076923077,0.05555555555555555,0.8125,0.0,0.0,0.0,0.0,0,6,0.0,,,0,0.0
61,1789302049.3868556,dots_0_2_stage2,train,1,1,2,0,-1.0,0.10422,0.07649,0.81929,0.59559,1.85599,1.44,2.33525,0.36065573770491804,0.4,0.36065573770491804,0.36065573770491804,22,61,0.3076923076923077,0.05263157894736842,0.8125,0.0,0.0,0.0,0.0,0,6,0.0,,,198,0.002676
62,1789302049.3876708,dots_0_2_stage2,train,1,0,1,0,-1.0,0.29603,0.21765,0.48632,1.04283,0.0,0.0,0.56474,0.3548387096774194,0.4,0.3548387096774194,0.3548387096774194,22,62,0.2962962962962963,0.05263157894736842,0.8125,0.0,0.0,0.0,0.0,0,6,0.0,,,195,0.001885
63,1789302049.3883688,dots_0_2_stage2,train,1,2,2,1,1.0,0.09829,0.06338,0.83833,0.55068,2.01158,1.44,2.51479,0.36507936507936506,0.4,0.36507936507936506,0.36507936507936506,23,63,0.2962962962962963,0.05263157894736842,0.8235294117647058,0.0,0.0,0.0,0.0,0,6,0.0,,,198,0.003064
64,1789302049.3890471,dots_0_2_stage2,train,1,1,2,0,-1.0,0.08193,0.05168,0.86639,0.48234,2.12977,1.44,2.81672,0.359375,0.4,0.359375,0.359375,23,64,0.2962962962962963,0.05,0.8235294117647058,0.0,0.0,0.0,0.0,0,6,0.0,,,195,0.00226
65,1789302049.3896618,dots_0_2_stage2,train,1,2,2,1,1.0,0.09799,0.058,0.84401,0.5359,1.99178,1.44,2.67401,0.36923076923076925,0.4,0.36923076923076925,0.36923076923076925,24,65,0.2962962962962963,0.05,0.8333333333333334,0.0,0.0,0.0,0.0,0,6,0.0,,,198,0.002861
66,1789302049.390288,dots_0_2_stage2,train,1,2,2,1,1.0,0.10652,0.06082,0.83266,0.56131,1.91791,1.44,2.50212,0.3787878787878788,0.45,0.3787878787878788,0.3787878787878788,25,66,0.2962962962962963,0.05,0.8421052631578947,0.0,0.0,0.0,0.0,0,6,0.0,,,198,0.003018
67,1789302049.3909104,dots_0_2_stage2,train,1,1,2,0,-1.0,0.08701,0.0516,0.86139,0.49394,1.99971,1.44,2.61862,0.373134328358209,0.45,0.373134328358209,0.373134328358209,25,67,0.2962962962962963,0.047619047619047616,0.8421052631578947,0.0,0.0,0.0,0.0,0,6,0.0,,,198,0.002229
68,1789302049.3915079,dots_0_2_stage2,train,1,0,2,0,-1.0,0.28456,0.19514,0.5203,1.01644,0.0,0.0,0.62453,0.36764705882352944,0.4,0.36764705882352944,0.36764705882352944,25,68,0.2857142857142857,0.047619047619047616,0.8421052631578947,0.0,0.0,0.0,0.0,0,6,0.0,,,198,0.001226
69,1789302049.392098,dots_0_2_stage2,train,1,2,2,1,1.0,0.11595,0.07099,0.81306,0.60587,1.90815,1.44,2.3847,0.37681159420289856,0.45,0.37681159420289856,0.37681159420289856,26,69,0.2857142857142857,0.047619047619047616,0.85,0.0,0.0,0.0,0.0,0,6,0.0,,,195,0.003169
70,1789302049.3926637,dots_0_2_stage2,probe,0,0,2,0,-1.0,0.29427,0.20515,0.50058,1.03132,0.0,0.0,0.54817,0.37142857142857144,0.45,0.37142857142857144,0.37142857142857144,26,70,0.27586206896551724,0.047619047619047616,0.85,0.0,0.0,0.0,0.0,0,7,0.0,,,0,0.0
71,1789302049.3931556,dots_0_2_stage2,train,1,0,2,0,-1.0,0.28221,0.19247,0.52532,1.01235,0.0,0.0,0.66171,0.36619718309859156,0.45,0.36619718309859156,0.36619718309859156,26,71,0.26666666666666666,0.047619047619047616,0.85,0.0,0.0,0.0,0.0,0,7,0.0,,,195,0.001238
72,1789302049.3936663,dots_0_2_stage2,train,1,2,2,1,1.0,0.09271,0.0562,0.85109,0.51952,2.14675,1.44,2.73023,0.375,0.5,0.375,0.375,27,72,0.26666666666666666,0.047619047619047616,0.8571428571428571,0.0,0.0,0.0,0.0,0,7,0.0,,,198,0.00292
73,1789302049.6498854,dots_0_2_stage2,train,1,1,1,1,1.0,0.10123,0.06418,0.83459,0.55901,1.88489,1.44,2.35568,0.3835616438356164,0.5,0.3835616438356164,0.3835616438356164,28,73,0.26666666666666666,0.09090909090909091,0.8571428571428571,0.0,0.0,0.0,0.0,0,7,0.0,,,195,0.013664
