trial,timestamp,phase,trial_kind,learning_enabled,target,answer,correct,reward,p0,p1,p2,policy_entropy,stimulus_profile,signal_energy,area_factor,requested_area_factor,post_noise_energy,min_pair_distance,gain_ratio,overall,balanced_accuracy,one_vs_two_accuracy,recent_20,recent_100,recent_500,successes,attempts,target_0_accuracy,target_1_accuracy,target_2_accuracy,probe_overall,probe_balanced_accuracy,probe_one_vs_two_accuracy,probe_recent_20,probe_recent_100,probe_recent_500,probe_successes,probe_attempts,probe_target_0_accuracy,probe_target_1_accuracy,probe_target_2_accuracy,active_synapses,mean_delta_w
43,1789304122.3092618,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.02297,0.96349,0.01354,0.18077,ood,2.13051,1.90831,1.90831,2.63727,2.23607,2.34804,0.627906976744186,0.6836601307189542,0.4642857142857143,0.55,0.627906976744186,0.627906976744186,27,43,0.9333333333333333,1.0,0.11764705882352941,0.627906976744186,0.6836601307189542,0.4642857142857143,0.55,0.627906976744186,0.627906976744186,27,43,0.9333333333333333,1.0,0.11764705882352941,0,0.0
44,1789304122.3102276,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.00291,0.99498,0.00211,0.03502,ood,2.1021,1.96295,1.96295,2.86233,2.23607,2.60209,0.6136363636363636,0.6814814814814815,0.4482758620689655,0.55,0.6136363636363636,0.6136363636363636,27,44,0.9333333333333333,1.0,0.1111111111111111,0.6136363636363636,0.6814814814814815,0.4482758620689655,0.55,0.6136363636363636,0.6136363636363636,27,44,0.9333333333333333,1.0,0.1111111111111111,0,0.0
45,1789304122.311154,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94473,0.02765,0.02762,0.25205,ood,0.0,0.0,0.0,0.55425,,,0.6222222222222222,0.6828703703703703,0.4482758620689655,0.6,0.6222222222222222,0.6222222222222222,28,45,0.9375,1.0,0.1111111111111111,0.6222222222222222,0.6828703703703703,0.4482758620689655,0.6,0.6222222222222222,0.6222222222222222,28,45,0.9375,1.0,0.1111111111111111,0,0.0
46,1789304122.3118854,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.12352,0.79659,0.07988,0.64136,ood,1.89063,2.02868,2.02868,2.42441,2.0,1.99994,0.6086956521739131,0.6809210526315789,0.43333333333333335,0.55,0.6086956521739131,0.6086956521739131,28,46,0.9375,1.0,0.10526315789473684,0.6086956521739131,0.6809210526315789,0.43333333333333335,0.55,0.6086956521739131,0.6086956521739131,28,46,0.9375,1.0,0.10526315789473684,0,0.0
47,1789304122.3130016,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.00604,0.9937,0.00026,0.03927,ood,2.10488,0.88086,0.88086,2.69098,2.0,2.17858,0.5957446808510638,0.6791666666666667,0.41935483870967744,0.55,0.5957446808510638,0.5957446808510638,28,47,0.9375,1.0,0.1,0.5957446808510638,0.6791666666666667,0.41935483870967744,0.55,0.5957446808510638,0.5957446808510638,28,47,0.9375,1.0,0.1,0,0.0
48,1789304122.3136854,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.00081,0.99813,0.00106,0.01488,ood,1.9191,0.88183,0.88183,2.37812,,,0.6041666666666666,0.6791666666666667,0.4375,0.55,0.6041666666666666,0.6041666666666666,29,48,0.9375,1.0,0.1,0.6041666666666666,0.6791666666666667,0.4375,0.55,0.6041666666666666,0.6041666666666666,29,48,0.9375,1.0,0.1,0,0.0
49,1789304122.5682337,dots_0_2_stage2_2_ood,ood_eval,0,2,1,0,-1.0,0.02653,0.96153,0.01194,0.18687,ood,1.9275,1.01258,1.01258,2.38351,2.82843,2.53367,0.5918367346938775,0.6775793650793651,0.42424242424242425,0.5,0.5918367346938775,0.5918367346938775,29,49,0.9375,1.0,0.09523809523809523,0.5918367346938775,0.6775793650793651,0.42424242424242425,0.5,0.5918367346938775,0.5918367346938775,29,49,0.9375,1.0,0.09523809523809523,0,0.0
50,1789304122.5691772,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.94429,0.02917,0.02654,0.25354,ood,0.0,0.0,0.0,0.57349,,,0.6,0.6788048552754434,0.42424242424242425,0.5,0.6,0.6,30,50,0.9411764705882353,1.0,0.09523809523809523,0.6,0.6788048552754434,0.42424242424242425,0.5,0.6,0.6,30,50,0.9411764705882353,1.0,0.09523809523809523,0,0.0
51,1789304122.5704362,dots_0_2_stage2_2_ood,ood_eval,0,1,1,1,1.0,0.08351,0.87539,0.0411,0.45503,ood,1.88121,1.9056,1.9056,2.37454,,,0.6078431372549019,0.6788048552754434,0.4411764705882353,0.55,0.6078431372549019,0.6078431372549019,31,51,0.9411764705882353,1.0,0.09523809523809523,0.6078431372549019,0.6788048552754434,0.4411764705882353,0.55,0.6078431372549019,0.6078431372549019,31,51,0.9411764705882353,1.0,0.09523809523809523,0,0.0
52,1789304122.5711205,dots_0_2_stage2_2_ood,ood_eval,0,0,0,1,1.0,0.9431,0.02986,0.02705,0.25774,ood,0.0,0.0,0.0,0.68807,,,0.6153846153846154,0.6798941798941799,0.4411764705882353,0.55,0.6153846153846154,0.6153846153846154,32,52,0.9444444444444444,1.0,0.09523809523809523,0.6153846153846154,0.6798941798941799,0.4411764705882353,0.55,0.6153846153846154,0.6153846153846154,32,52,0.9444444444444444,1.0,0.09523809523809523,0,0.0
